name,comarca,ine
Torrellas,Tarazona y el Moncayo,50261
Torres de Berrellén,Ribera Alta del Ebro,50262
Torrijo de la Cañada,Comunidad de Calatayud,50263
Tosos,Campo de Cariñena,50264
Trasmoz,Tarazona y el Moncayo,50265
Trasobares,Aranda,50266
Uncastillo,Cinco Villas,50267
Undués de Lerda,Cinco Villas,50268
Urrea de Jalón,Valdejalón,50269
Urriés,Cinco Villas,50270
Used,Campo de Daroca,50271
Utebo,D.C. Zaragoza,50272
Valdehorna,Campo de Daroca,50273
Val de San Martín,Campo de Daroca,50274
Valmadrid,Campo de Belchite,50275
Valpalmas,Cinco Villas,50276
Valtorres,Comunidad de Calatayud,50277
Velilla de Ebro,Ribera Baja del Ebro,50278
Velilla de Jiloca,Comunidad de Calatayud,50279
Vera de Moncayo,Tarazona y el Moncayo,50280
Vierlas,Tarazona y el Moncayo,50281
Vilueña (La),Comunidad de Calatayud,50282
Villadoz,Campo de Daroca,50283
Villafeliche,Comunidad de Calatayud,50284
Villafranca de Ebro,D.C. Zaragoza,50285
